Entry No.	Data source	Lab	Run	Type	Observed ys (m)	duration (hr)	Flume data	width (m)	Lflume (m)	Sediment data	d50 (mm)	sigma_g	Flow data	y (m)	V (m/s)	Vc (m/s) original paper	Vc paper	Pier data	Column dimensions	bcol (m)	Lcol (m)	Pier shape	Kshape,col	Pile cap dimensions	bpc (m)	Lpc (m)	T (m)	f (m)	f2 (m)	h0 (m)	h1 (m)	PC shape	Kshape,pc	Pile group dimensions	bp (m)	m	n	Sn (m)	Sm (m)	Pier shape	Kshape,pg	****
68	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-6	complex pier	0.045	48	****	0.6	82	****	0.6	1.3	****	0.14	0.232	0.32	Beheshti&Ataie 2075	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.059	0.092	Square Nose	1.1	****	0.016	3	2	0.03	0.045	Group of Cylinders	1	****
69	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-12	complex pier	0.025	48	****	0.6	83	****	0.6	1.3	****	0.145	0.225	0.32	Beheshti&Ataie 2076	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	-0.024	0.009	Square Nose	1.1	****	0.019	3	2	0.03	0.045	Group of Cylinders	1	****
70	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-13	complex pier	0.032	24	****	0.6	84	****	0.6	1.3	****	0.133	0.244	0.31	Beheshti&Ataie 2077	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	-0.073	-0.04	Square Nose	1.1	****	0	3	2	0.03	0.045	Group of Cylinders	1	****
71	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-14	complex pier	0.026	24	****	0.6	85	****	0.6	1.3	****	0.136	0.238	0.31	Beheshti&Ataie 2078	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	-0.063	-0.03	Square Nose	1.1	****	0	3	2	0.03	0.045	Group of Cylinders	1	****
72	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-15	complex pier	0.06	24	****	0.6	86	****	0.6	1.3	****	0.142	0.23	0.32	Beheshti&Ataie 2079	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.123	0.156	Square Nose	1.1	****	0.022	3	2	0.03	0.045	Group of Cylinders	1	****
73	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-16	complex pier	0.067	46	****	0.6	87	****	0.6	1.3	****	0.142	0.225	0.32	Beheshti&Ataie 2080	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.11	0.143	Square Nose	1.1	****	0.022	3	2	0.03	0.045	Group of Cylinders	1	****
74	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-17	complex pier	0.067	40	****	0.6	88	****	0.6	1.3	****	0.142	0.229	0.32	Beheshti&Ataie 2081	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.126	0.159	Square Nose	1.1	****	0.022	3	2	0.03	0.045	Group of Cylinders	1	****
75	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-18	complex pier	0.058	24	****	0.6	89	****	0.6	1.3	****	0.127	0.23	0.31	Beheshti&Ataie 2082	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.151	0.184	Square Nose	1.1	****	0.022	3	2	0.03	0.045	Group of Cylinders	1	****
76	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-19	complex pier	0.066	72	****	0.6	90	****	0.6	1.3	****	0.13	0.228	0.31	Beheshti&Ataie 2083	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.151	0.184	Square Nose	1.1	****	0.022	3	2	0.03	0.045	Group of Cylinders	1	****
77	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-20	complex pier	0.022	120	****	0.6	91	****	0.6	1.3	****	0.143	0.228	0.32	Beheshti&Ataie 2084	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	-0.055	-0.022	Square Nose	1.1	****	0.019	3	2	0.03	0.045	Group of Cylinders	1	****
78	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-21	complex pier	0.016	24	****	0.6	92	****	0.6	1.3	****	0.141	0.232	0.32	Beheshti&Ataie 2085	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	-0.049	-0.016	Square Nose	1.1	****	0.019	3	2	0.03	0.045	Group of Cylinders	1	****
79	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-23	complex pier	0.039	24	****	0.6	93	****	0.6	1.3	****	0.143	0.228	0.32	Beheshti&Ataie 2086	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.151	0.184	Square Nose	1.1	****	0.016	3	2	0.03	0.045	Group of Cylinders	1	****
80	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-24	complex pier	0.047	48	****	0.6	94	****	0.6	1.3	****	0.143	0.227	0.32	Beheshti&Ataie 2087	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.151	0.184	Square Nose	1.1	****	0.016	3	2	0.03	0.045	Group of Cylinders	1	****
81	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-25	complex pier	0.048	72	****	0.6	95	****	0.6	1.3	****	0.15	0.232	0.32	Beheshti&Ataie 2088	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.135	0.168	Square Nose	1.1	****	0.016	3	2	0.03	0.045	Group of Cylinders	1	****
82	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-26	complex pier	0.039	24	****	0.6	96	****	0.6	1.3	****	0.146	0.221	0.32	Beheshti&Ataie 2089	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.131	0.164	Square Nose	1.1	****	0.016	3	2	0.03	0.045	Group of Cylinders	1	****
83	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-41	complex pier	0.07	24	****	0.6	97	****	0.6	1.3	****	0.141	0.232	0.32	Beheshti&Ataie 2090	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.084	0.117	Square Nose	1.1	****	0.022	3	2	0.03	0.045	Group of Cylinders	1	****
84	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-42	complex pier	0.079	48	****	0.6	98	****	0.6	1.3	****	0.14	0.232	0.32	Beheshti&Ataie 2091	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.062	0.095	Square Nose	1.1	****	0.022	3	2	0.03	0.045	Group of Cylinders	1	****
85	Hajzaman 1386	Sharif University of Technology, Tehran	Model I-43	complex pier	0.043	48	****	0.6	99	****	0.6	1.3	****	0.142	0.229	0.32	Beheshti&Ataie 2092	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.03	0.063	Square Nose	1.1	****	0.022	3	2	0.03	0.045	Group of Cylinders	1	****
86	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-7	complex pier	0.041	24	****	0.6	100	****	0.6	1.3	****	0.14	0.232	0.32	Beheshti&Ataie 2093	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	0.051	0.074	Square Nose	1.1	****	0.016	3	2	0.03	0.046	Group of Cylinders	1	****
87	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-8	complex pier	0.039	24	****	0.6	101	****	0.6	1.3	****	0.14	0.233	0.32	Beheshti&Ataie 2094	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	0.037	0.06	Square Nose	1.1	****	0.016	3	2	0.03	0.046	Group of Cylinders	1	****
88	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-9	complex pier	0.028	48	****	0.6	102	****	0.6	1.3	****	0.14	0.232	0.32	Beheshti&Ataie 2095	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	0.015	0.038	Square Nose	1.1	****	0.016	3	2	0.03	0.046	Group of Cylinders	1	****
89	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-10	complex pier	0.025	72	****	0.6	103	****	0.6	1.3	****	0.14	0.232	0.32	Beheshti&Ataie 2096	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	-0.013	0.01	Square Nose	1.1	****	0.019	3	2	0.03	0.046	Group of Cylinders	1	****
90	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-11	complex pier	0.023	40	****	0.6	104	****	0.6	1.3	****	0.14	0.229	0.32	Beheshti&Ataie 2097	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	-0.013	0.01	Square Nose	1.1	****	0.019	3	2	0.03	0.046	Group of Cylinders	1	****
91	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-22	complex pier	0.018	48	****	0.6	105	****	0.6	1.3	****	0.14	0.23	0.32	Beheshti&Ataie 2098	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	-0.041	-0.018	Square Nose	1.1	****	0.019	3	2	0.03	0.046	Group of Cylinders	1	****
92	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-44	complex pier	0.034	90	****	0.6	106	****	0.6	1.3	****	0.141	0.228	0.32	Beheshti&Ataie 2099	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	-0.012	0.011	Square Nose	1.1	****	0.022	3	2	0.03	0.046	Group of Cylinders	1	****
93	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-45	complex pier	0.03	24	****	0.6	107	****	0.6	1.3	****	0.14	0.236	0.32	Beheshti&Ataie 2100	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	-0.013	0.01	Square Nose	1.1	****	0.022	3	2	0.03	0.046	Group of Cylinders	1	****
94	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-46	complex pier	0.025	24	****	0.6	108	****	0.6	1.3	****	0.142	0.225	0.32	Beheshti&Ataie 2101	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	-0.002	0.021	Square Nose	1.1	****	0.016	3	2	0.03	0.046	Group of Cylinders	1	****
95	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-47	complex pier	0.036	48	****	0.6	109	****	0.6	1.3	****	0.141	0.229	0.32	Beheshti&Ataie 2102	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	-0.002	0.021	Square Nose	1.1	****	0.016	3	2	0.03	0.046	Group of Cylinders	1	****
96	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-51	complex pier	0.069	48	****	0.6	110	****	0.6	1.3	****	0.14	0.232	0.32	Beheshti&Ataie 2103	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	0.06	0.083	Square Nose	1.1	****	0.022	3	2	0.03	0.046	Group of Cylinders	1	****
97	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-52	complex pier	0.061	24	****	0.6	111	****	0.6	1.3	****	0.139	0.234	0.32	Beheshti&Ataie 2104	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	0.043	0.066	Square Nose	1.1	****	0.022	3	2	0.03	0.046	Group of Cylinders	1	****
98	Hajzaman 1386	Sharif University of Technology, Tehran	Model II-53	complex pier	0.064	48	****	0.6	112	****	0.6	1.3	****	0.14	0.232	0.32	Beheshti&Ataie 2105	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	0.067	0.09	Square Nose	1.1	****	0.022	3	2	0.03	0.046	Group of Cylinders	1	****
99	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-27	complex pier	0.039	24	****	0.6	113	****	0.6	1.3	****	0.145	0.23	0.32	Beheshti&Ataie 2106	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.151	0.184	Square Nose	1.1	****	0.016	4	2	0.03	0.036	Group of Cylinders	1	****
100	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-28	complex pier	0.037	24	****	0.6	114	****	0.6	1.3	****	0.139	0.23	0.32	Beheshti&Ataie 2107	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.151	0.184	Square Nose	1.1	****	0.016	4	2	0.03	0.036	Group of Cylinders	1	****
101	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-29	complex pier	0.046	48	****	0.6	115	****	0.6	1.3	****	0.14	0.232	0.32	Beheshti&Ataie 2108	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.119	0.152	Square Nose	1.1	****	0.016	4	2	0.03	0.036	Group of Cylinders	1	****
102	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-30	complex pier	0.047	45	****	0.6	116	****	0.6	1.3	****	0.137	0.237	0.31	Beheshti&Ataie 2109	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.114	0.147	Square Nose	1.1	****	0.016	4	2	0.03	0.036	Group of Cylinders	1	****
103	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-31	complex pier	0.066	28	****	0.6	117	****	0.6	1.3	****	0.142	0.234	0.32	Beheshti&Ataie 2110	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.151	0.184	Square Nose	1.1	****	0.022	4	2	0.03	0.036	Group of Cylinders	1	****
104	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-32	complex pier	0.052	24	****	0.6	118	****	0.6	1.3	****	0.139	0.236	0.32	Beheshti&Ataie 2111	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.151	0.184	Square Nose	1.1	****	0.022	4	2	0.03	0.036	Group of Cylinders	1	****
105	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-33	complex pier	0.066	30	****	0.6	119	****	0.6	1.3	****	0.138	0.236	0.31	Beheshti&Ataie 2112	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.123	0.156	Square Nose	1.1	****	0.022	4	2	0.03	0.036	Group of Cylinders	1	****
106	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-34	complex pier	0.063	24	****	0.6	120	****	0.6	1.3	****	0.138	0.234	0.31	Beheshti&Ataie 2113	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.112	0.145	Square Nose	1.1	****	0.022	4	2	0.03	0.036	Group of Cylinders	1	****
107	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-35	complex pier	0.068	48	****	0.6	121	****	0.6	1.3	****	0.14	0.233	0.32	Beheshti&Ataie 2114	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.077	0.11	Square Nose	1.1	****	0.022	4	2	0.03	0.036	Group of Cylinders	1	****
108	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-36	complex pier	0.068	24	****	0.6	122	****	0.6	1.3	****	0.139	0.228	0.32	Beheshti&Ataie 2115	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.054	0.087	Square Nose	1.1	****	0.022	4	2	0.03	0.036	Group of Cylinders	1	****
109	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-37	complex pier	0.078	44	****	0.6	123	****	0.6	1.3	****	0.14	0.231	0.32	Beheshti&Ataie 2116	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.034	0.067	Square Nose	1.1	****	0.022	4	2	0.03	0.036	Group of Cylinders	1	****
110	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-38	complex pier	0.055	48	****	0.6	124	****	0.6	1.3	****	0.141	0.228	0.32	Beheshti&Ataie 2117	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.085	0.118	Square Nose	1.1	****	0.016	4	2	0.03	0.036	Group of Cylinders	1	****
111	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-39	complex pier	0.065	70	****	0.6	125	****	0.6	1.3	****	0.14	0.232	0.32	Beheshti&Ataie 2118	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.056	0.089	Square Nose	1.1	****	0.016	4	2	0.03	0.036	Group of Cylinders	1	****
112	Hajzaman 1386	Sharif University of Technology, Tehran	Model III-40	complex pier	0.042	48	****	0.6	126	****	0.6	1.3	****	0.143	0.231	0.32	Beheshti&Ataie 2119	****	****	0.016	0.151	Round Nose	1	****	0.09	0.18	0.033	0.012	0.037	0.031	0.064	Square Nose	1.1	****	0.016	4	2	0.03	0.036	Group of Cylinders	1	****
113	Hajzaman 1386	Sharif University of Technology, Tehran	Model IV-48	complex pier	0.046	48	****	0.6	127	****	0.6	1.3	****	0.139	0.233	0.32	Beheshti&Ataie 2120	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	0.052	0.075	Square Nose	1.1	****	0.016	4	2	0.03	0.037	Group of Cylinders	1	****
114	Hajzaman 1386	Sharif University of Technology, Tehran	Model IV-49	complex pier	0.041	65	****	0.6	128	****	0.6	1.3	****	0.14	0.229	0.32	Beheshti&Ataie 2121	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	0.03	0.053	Square Nose	1.1	****	0.016	4	2	0.03	0.037	Group of Cylinders	1	****
115	Hajzaman 1386	Sharif University of Technology, Tehran	Model IV-50	complex pier	0.047	48	****	0.6	129	****	0.6	1.3	****	0.14	0.231	0.32	Beheshti&Ataie 2122	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	0.076	0.099	Square Nose	1.1	****	0.016	4	2	0.03	0.037	Group of Cylinders	1	****
116	Hajzaman 1386	Sharif University of Technology, Tehran	Model IV-54	complex pier	0.053	24	****	0.6	130	****	0.6	1.3	****	0.14	0.231	0.32	Beheshti&Ataie 2123	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	0.033	0.056	Square Nose	1.1	****	0.022	4	2	0.03	0.037	Group of Cylinders	1	****
117	Hajzaman 1386	Sharif University of Technology, Tehran	Model IV-55	complex pier	0.061	48	****	0.6	131	****	0.6	1.3	****	0.139	0.231	0.32	Beheshti&Ataie 2124	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	0.033	0.056	Square Nose	1.1	****	0.022	4	2	0.03	0.037	Group of Cylinders	1	****
118	Hajzaman 1386	Sharif University of Technology, Tehran	Model IV-56	complex pier	0.049	40	****	0.6	132	****	0.6	1.3	****	0.141	0.232	0.32	Beheshti&Ataie 2125	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	0.01	0.033	Square Nose	1.1	****	0.022	4	2	0.03	0.037	Group of Cylinders	1	****
119	Hajzaman 1386	Sharif University of Technology, Tehran	Model IV-57	complex pier	0.026	24	****	0.6	133	****	0.6	1.3	****	0.14	0.229	0.32	Beheshti&Ataie 2126	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	-0.013	0.01	Square Nose	1.1	****	0.016	4	2	0.03	0.037	Group of Cylinders	1	****
120	Hajzaman 1386	Sharif University of Technology, Tehran	Model IV-58	complex pier	0.037	48	****	0.6	134	****	0.6	1.3	****	0.139	0.233	0.32	Beheshti&Ataie 2127	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	-0.012	0.011	Square Nose	1.1	****	0.016	4	2	0.03	0.037	Group of Cylinders	1	****
121	Hajzaman 1386	Sharif University of Technology, Tehran	Model IV-59	complex pier	0.026	65	****	0.6	135	****	0.6	1.3	****	0.141	0.229	0.32	Beheshti&Ataie 2128	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	-0.015	0.008	Square Nose	1.1	****	0.022	4	2	0.03	0.037	Group of Cylinders	1	****
122	Hajzaman 1386	Sharif University of Technology, Tehran	Model IV-60	complex pier	0.019	24	****	0.6	136	****	0.6	1.3	****	0.141	0.231	0.32	Beheshti&Ataie 2129	****	****	0.016	0.148	Round Nose	1	****	0.09	0.184	0.023	0.015	0.037	-0.01	0.013	Square Nose	1.1	****	0.022	4	2	0.03	0.037	Group of Cylinders	1	****
123	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	A1	complex pier	0.1	437	****	0.7	137	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2130	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.05	0.0505	0.0495	0.074	0.124	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
124	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	A2	complex pier	0.108	410	****	0.7	138	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2131	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.05	0.0505	0.0495	0.042	0.092	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
125	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	A3	complex pier	0.14	218	****	0.7	139	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2132	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.05	0.0505	0.0495	0.008	0.058	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
126	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	A4	complex pier	0.141	242	****	0.7	140	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2133	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.05	0.0505	0.0495	-0.027	0.023	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
127	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	A5	complex pier	0.117	247	****	0.7	141	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2134	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.05	0.0505	0.0495	-0.05	0	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
128	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	A6	complex pier	0.102	888	****	0.7	142	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2135	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.05	0.0505	0.0495	-0.057	-0.007	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
129	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	A7	complex pier	0.089	581	****	0.7	143	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2136	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.05	0.0505	0.0495	-0.063	-0.013	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
130	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	A8	complex pier	0.098	511	****	0.7	144	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2137	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.05	0.0505	0.0495	-0.068	-0.018	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
131	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	A9	complex pier	0.059	266	****	0.7	145	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2138	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.05	0.0505	0.0495	-0.097	-0.047	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
132	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	A10	complex pier	0.1	199	****	0.7	146	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2139	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.05	0.0505	0.0495	-0.16	-0.11	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
133	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	B1	complex pier	0.101	262	****	0.7	147	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2140	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.001	0.0505	0.0495	0.123	0.124	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
134	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	B2	complex pier	0.098	175	****	0.7	148	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2141	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.001	0.0505	0.0495	0.088	0.089	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
135	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	B3	complex pier	0.094	175	****	0.7	149	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2142	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.001	0.0505	0.0495	0.059	0.06	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
136	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	B4	complex pier	0.081	406	****	0.7	150	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2143	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.001	0.0505	0.0495	0.023	0.024	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
137	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	B5	complex pier	0.074	314	****	0.7	151	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2144	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.001	0.0505	0.0495	0	0.001	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
138	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	B6	complex pier	0.091	989	****	0.7	152	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2145	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.001	0.0505	0.0495	-0.01	-0.009	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
139	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	B7	complex pier	0.081	384	****	0.7	153	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2146	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.001	0.0505	0.0495	-0.015	-0.014	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
140	Ferraro, Tafarojnoruz, Gaudio Cardoso 2013	Instituto Superior Técnico, Portugal	B8	complex pier	0.021	559	****	0.7	154	****	0.83	1.48	****	0.1	0.271	0.296	Beheshti&Ataie 2147	****	****	0.049	0.197	Round Nose	1	****	0.148	0.298	0.001	0.0505	0.0495	-0.017	-0.016	Round Nose	1	****	0.025	5	2	0.055	0.05	Group of Cylinders	1	****
